first_pca,second_pca
-0.2981803635179159,0.2536617733798425
-0.20528547165608851,-0.5320037649875898
-0.0,-1.1102230246251565e-16
-0.22919256168819233,-0.5268996922959968
-0.3413074227047765,-0.01529055992005738
-0.28202533025818366,-0.07117550758157204
0.2254261521245529,-0.26783908530101486
0.2899017568572784,-0.3894629077208167
0.41086716735270684,-0.24550011481388745
0.39237144638621013,0.07877352051925933
0.3180221917587178,0.014134692824405121
0.0005712399860948399,0.045942542278639094
-0.07732118043669595,-0.21130178341892697
-0.23588960629269576,-0.1812484551627699
